Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
BJ_E2	BJ	479.0300664	31	13	2	0	1	1	C31H13O2SP	CHOSP	ConHC
BJ_E2	BJ	463.035207	31	13	1	0	1	1	C31H13OSP	CHOSP	ConHC
BJ_E2	BJ	433.0271692	26	11	5	0	0	1	C26H11O5P	CHOP	ConHC
BJ_E2	BJ	417.0143658	26	11	2	0	1	1	C26H11O2SP	CHOSP	ConHC
BJ_E2	BJ	634.1041967	40	17	6	3	0	0	C40H17O6N3	CHON	ConHC
BJ_E2	BJ	576.0657803	34	15	5	3	1	0	C34H15O5N3S	CHONS	ConHC
BJ_E2	BJ	496.1093181	34	15	2	3	0	0	C34H15O2N3	CHON	ConHC
BJ_E2	BJ	638.9725421	27	12	17	0	1	0	C27H12O17S	CHOS	ConHC
BJ_E2	BJ	567.0615303	38	17	2	0	1	1	C38H17O2SP	CHOSP	ConHC
BJ_E2	BJ	566.0677583	38	17	1	1	2	0	C38H17ONS2	CHONS	ConHC
BJ_E2	BJ	499.0133385	29	13	1	2	2	1	C29H13ON2S2P	CHONSP	ConHC
BJ_E2	BJ	576.9568556	22	10	17	0	1	0	C22H10O17S	CHOS	ConHC
BJ_E2	BJ	527.1035128	35	16	4	2	0	0	C35H16O4N2	CHON	ConHC
BJ_E2	BJ	542.9960189	26	12	8	2	2	0	C26H12O8N2S2	CHONS	ConHC
BJ_E2	BJ	496.0226494	26	12	8	1	0	1	C26H12O8NP	CHONP	ConHC
BJ_E2	BJ	480.0100687	26	12	5	1	1	1	C26H12O5NSP	CHONSP	ConHC
BJ_E2	BJ	448.037842	26	12	5	1	0	1	C26H12O5NP	CHONP	ConHC
BJ_E2	BJ	632.1072162	41	19	3	3	1	0	C41H19O3N3S	CHONS	ConHC
BJ_E2	BJ	487.0488402	28	13	5	2	0	1	C28H13O5N2P	CHONP	ConHC
BJ_E2	BJ	509.0584768	32	15	5	0	0	1	C32H15O5P	CHOP	ConHC
BJ_E2	BJ	493.063442	32	15	4	0	0	1	C32H15O4P	CHOP	ConHC
BJ_E2	BJ	493.0456471	32	15	2	0	1	1	C32H15O2SP	CHOSP	ConHC
BJ_E2	BJ	477.0508047	32	15	1	0	1	1	C32H15OSP	CHOSP	ConHC
BJ_E2	BJ	499.1088962	34	16	3	2	0	0	C34H16O3N2	CHON	ConHC
BJ_E2	BJ	555.1387873	42	20	2	0	0	0	C42H20O2	CHO	ConHC
BJ_E2	BJ	447.0426373	27	13	5	0	0	1	C27H13O5P	CHOP	ConHC
BJ_E2	BJ	431.0299655	27	13	2	0	1	1	C27H13O2SP	CHOSP	ConHC
BJ_E2	BJ	553.0412264	29	14	12	0	0	0	C29H14O12	CHO	ConHC
BJ_E2	BJ	526.1199171	35	17	3	3	0	0	C35H17O3N3	CHON	ConHC
BJ_E2	BJ	569.0965541	37	18	3	2	1	0	C37H18O3N2S	CHONS	ConHC
BJ_E2	BJ	493.1233418	37	18	2	0	0	0	C37H18O2	CHO	ConHC
BJ_E2	BJ	678.0951606	42	21	3	3	2	0	C42H21O3N3S2	CHONS	ConHC
BJ_E2	BJ	591.135142	40	20	4	2	0	0	C40H20O4N2	CHON	ConHC
BJ_E2	BJ	553.0998741	38	19	3	0	0	1	C38H19O3P	CHOP	ConHC
BJ_E2	BJ	474.0534617	28	14	5	1	0	1	C28H14O5NP	CHONP	ConHC
BJ_E2	BJ	590.9727049	26	13	9	2	2	1	C26H13O9N2S2P	CHONSP	ConHC
BJ_E2	BJ	386.0821905	26	13	3	1	0	0	C26H13O3N	CHON	ConHC
BJ_E2	BJ	498.9752597	16	8	17	2	0	0	C16H8O17N2	CHON	Other
BJ_E2	BJ	933.2286875	67	34	6	0	0	0	C67H34O6	CHO	ConHC
BJ_E2	BJ	600.1198263	37	19	6	3	0	0	C37H19O6N3	CHON	ConHC
BJ_E2	BJ	523.0742734	33	17	5	0	0	1	C33H17O5P	CHOP	ConHC
BJ_E2	BJ	507.0791639	33	17	4	0	0	1	C33H17O4P	CHOP	ConHC
BJ_E2	BJ	557.0117102	27	14	8	2	2	0	C27H14O8N2S2	CHONS	ConHC
BJ_E2	BJ	510.0383237	27	14	8	1	0	1	C27H14O8NP	CHONP	ConHC
BJ_E2	BJ	494.0258062	27	14	5	1	1	1	C27H14O5NSP	CHONSP	ConHC
BJ_E2	BJ	478.0129052	27	14	2	1	2	1	C27H14O2NS2P	CHONSP	ConHC
BJ_E2	BJ	462.0536244	27	14	5	1	0	1	C27H14O5NP	CHONP	ConHC
BJ_E2	BJ	430.0637044	27	14	3	1	0	1	C27H14O3NP	CHONP	ConHC
BJ_E2	BJ	367.0434954	23	12	3	0	1	0	C23H12O3S	CHOS	ConHC
BJ_E2	BJ	603.1087004	38	20	8	0	0	0	C38H20O8	CHO	ConHC
BJ_E2	BJ	550.0495327	34	18	1	1	2	1	C34H18ONS2P	CHONSP	ConHC
BJ_E2	BJ	494.9716255	17	9	14	2	0	1	C17H9O14N2P	CHONP	ConHC
BJ_E2	BJ	445.0457228	28	15	2	0	1	1	C28H15O2SP	CHOSP	ConHC
BJ_E2	BJ	444.0520551	28	15	1	1	2	0	C28H15ONS2	CHONS	ConHC
BJ_E2	BJ	573.1610433	41	22	2	2	0	0	C41H22O2N2	CHON	ConHC
BJ_E2	BJ	533.0770513	35	19	2	0	1	1	C35H19O2SP	CHOSP	ConHC
BJ_E2	BJ	570.0570062	33	18	5	1	1	1	C33H18O5NSP	CHONSP	ConHC
BJ_E2	BJ	489.1246803	33	18	3	2	0	0	C33H18O3N2	CHON	ConHC
BJ_E2	BJ	514.0575569	31	17	3	1	2	0	C31H17O3NS2	CHONS	ConHC
BJ_E2	BJ	561.1610718	40	22	2	2	0	0	C40H22O2N2	CHON	ConHC
BJ_E2	BJ	468.0905671	29	16	2	3	0	1	C29H16O2N3P	CHONP	ConHC
BJ_E2	BJ	598.1231374	38	21	3	3	1	0	C38H21O3N3S	CHONS	ConHC
BJ_E2	BJ	567.126828	38	21	2	2	0	1	C38H21O2N2P	CHONP	ConHC
BJ_E2	BJ	550.1563222	38	21	2	3	0	0	C38H21O2N3	CHON	ConHC
BJ_E2	BJ	643.1289965	45	25	1	0	1	1	C45H25OSP	CHOSP	ConHC
BJ_E2	BJ	458.0029964	18	10	10	3	0	1	C18H10O10N3P	CHONP	ConHC
BJ_E2	BJ	273.0556569	18	10	3	0	0	0	C18H10O3	CHO	ConHC
BJ_E2	BJ	537.0898631	34	19	5	0	0	1	C34H19O5P	CHOP	ConHC
BJ_E2	BJ	739.1759545	50	28	7	0	0	0	C50H28O7	CHO	ConHC
BJ_E2	BJ	572.1770403	41	23	1	3	0	0	C41H23ON3	CHON	ConHC
BJ_E2	BJ	681.2223182	53	30	1	0	0	0	C53H30O	CHO	ConHC
BJ_E2	BJ	937.2599682	67	38	6	0	0	0	C67H38O6	CHO	ConHC
BJ_E2	BJ	921.2648868	67	38	5	0	0	0	C67H38O5	CHO	ConHC
BJ_E2	BJ	598.1813501	44	25	2	1	0	0	C44H25O2N	CHON	ConHC
BJ_E2	BJ	771.1772331	49	28	8	2	0	0	C49H28O8N2	CHON	ConHC
BJ_E2	BJ	755.1820448	49	28	7	2	0	0	C49H28O7N2	CHON	ConHC
BJ_E2	BJ	587.1766705	42	24	2	2	0	0	C42H24O2N2	CHON	ConHC
BJ_E2	BJ	571.1815774	42	24	1	2	0	0	C42H24ON2	CHON	ConHC
BJ_E2	BJ	571.0273782	28	16	8	2	2	0	C28H16O8N2S2	CHONS	ConHC
BJ_E2	BJ	524.0539722	28	16	8	1	0	1	C28H16O8NP	CHONP	ConHC
BJ_E2	BJ	508.04144	28	16	5	1	1	1	C28H16O5NSP	CHONSP	ConHC
BJ_E2	BJ	476.0692043	28	16	5	1	0	1	C28H16O5NP	CHONP	ConHC
BJ_E2	BJ	488.140639	33	19	2	3	0	0	C33H19O2N3	CHON	ConHC
BJ_E2	BJ	449.1297324	31	18	2	2	0	0	C31H18O2N2	CHON	ConHC
BJ_E2	BJ	604.9881497	24	14	17	0	1	0	C24H14O17S	CHOS	ConHC
BJ_E2	BJ	394.0636684	24	14	3	1	0	1	C24H14O3NP	CHONP	ConHC
BJ_E2	BJ	490.0931355	29	17	7	1	0	0	C29H17O7N	CHON	ConHC
BJ_E2	BJ	475.074095	29	17	5	0	0	1	C29H17O5P	CHOP	ConHC
BJ_E2	BJ	459.0791847	29	17	4	0	0	1	C29H17O4P	CHOP	ConHC
BJ_E2	BJ	548.1167309	34	20	3	3	0	1	C34H20O3N3P	CHONP	ConHC
BJ_E2	BJ	597.1373479	39	23	3	2	0	1	C39H23O3N2P	CHONP	ConHC
BJ_E2	BJ	416.0844485	27	16	2	1	0	1	C27H16O2NP	CHONP	ConHC
BJ_E2	BJ	586.1926148	42	25	1	3	0	0	C42H25ON3	CHON	ConHC
BJ_E2	BJ	801.1877128	50	30	9	2	0	0	C50H30O9N2	CHON	ConHC
BJ_E2	BJ	785.1929073	50	30	8	2	0	0	C50H30O8N2	CHON	ConHC
BJ_E2	BJ	611.1612951	40	24	5	2	0	0	C40H24O5N2	CHON	ConHC
BJ_E2	BJ	534.0989737	35	21	1	1	2	0	C35H21ONS2	CHONS	ConHC
BJ_E2	BJ	486.0899279	30	18	4	1	0	1	C30H18O4NP	CHONP	ConHC
BJ_E2	BJ	421.1347816	30	18	1	2	0	0	C30H18ON2	CHON	ConHC
BJ_E2	BJ	553.0176995	25	15	13	0	0	1	C25H15O13P	CHOP	ConHC
BJ_E2	BJ	573.1857622	43	26	2	0	0	0	C43H26O2	CHO	ConHC
BJ_E2	BJ	975.2604309	66	40	9	0	0	0	C66H40O9	CHO	ConHC
BJ_E2	BJ	543.0306428	28	17	8	0	1	1	C28H17O8SP	CHOSP	ConHC
BJ_E2	BJ	511.0587415	28	17	8	0	0	1	C28H17O8P	CHOP	ConHC
BJ_E2	BJ	719.1822644	46	28	7	2	0	0	C46H28O7N2	CHON	ConHC
BJ_E2	BJ	574.192565	41	25	1	3	0	0	C41H25ON3	CHON	ConHC
BJ_E2	BJ	501.1318711	36	22	1	0	1	0	C36H22OS	CHOS	ConHC
BJ_E2	BJ	519.0567637	26	16	12	0	0	0	C26H16O12	CHO	ConHC
BJ_E2	BJ	538.0695006	29	18	8	1	0	1	C29H18O8NP	CHONP	ConHC
BJ_E2	BJ	522.0569338	29	18	5	1	1	1	C29H18O5NSP	CHONSP	ConHC
BJ_E2	BJ	506.079732	29	18	6	1	0	1	C29H18O6NP	CHONP	ConHC
BJ_E2	BJ	490.0848546	29	18	5	1	0	1	C29H18O5NP	CHONP	ConHC
BJ_E2	BJ	474.0898965	29	18	4	1	0	1	C29H18O4NP	CHONP	ConHC
BJ_E2	BJ	562.1927157	40	25	1	3	0	0	C40H25ON3	CHON	ConHC
BJ_E2	BJ	516.9853906	16	10	18	2	0	0	C16H10O18N2	CHON	Other
BJ_E2	BJ	831.1983635	51	32	10	2	0	0	C51H32O10N2	CHON	ConHC
BJ_E2	BJ	620.1268492	38	24	6	1	0	1	C38H24O6NP	CHONP	ConHC
BJ_E2	BJ	431.0257565	19	12	12	0	0	0	C19H12O12	CHO	ConHC
BJ_E2	BJ	415.0308606	19	12	11	0	0	0	C19H12O11	CHO	ConHC
BJ_E2	BJ	489.0896194	30	19	5	0	0	1	C30H19O5P	CHOP	ConHC
BJ_E2	BJ	561.1974516	41	26	1	2	0	0	C41H26ON2	CHON	ConHC
BJ_E2	BJ	559.09546	33	21	7	0	0	1	C33H21O7P	CHOP	ConHC
BJ_E2	BJ	228.0413902	11	7	3	3	0	0	C11H7O3N3	CHON	ConHC
BJ_E2	BJ	550.192596	39	25	1	3	0	0	C39H25ON3	CHON	ConHC
BJ_E2	BJ	652.1877715	42	27	5	3	0	0	C42H27O5N3	CHON	ConHC
BJ_E2	BJ	588.2083279	42	27	1	3	0	0	C42H27ON3	CHON	ConHC
BJ_E2	BJ	526.0697134	28	18	8	1	0	1	C28H18O8NP	CHONP	ConHC
BJ_E2	BJ	478.0847869	28	18	5	1	0	1	C28H18O5NP	CHONP	ConHC
BJ_E2	BJ	462.0899893	28	18	4	1	0	1	C28H18O4NP	CHONP	ConHC
BJ_E2	BJ	430.1001303	28	18	2	1	0	1	C28H18O2NP	CHONP	ConHC
BJ_E2	BJ	901.2602821	65	42	1	0	2	0	C65H42OS2	CHOS	ConHC
BJ_E2	BJ	802.1902018	51	33	7	1	1	0	C51H33O7NS	CHONS	ConHC
BJ_E2	BJ	787.1717042	51	33	5	0	1	1	C51H33O5SP	CHOSP	ConHC
BJ_E2	BJ	489.1610401	34	22	2	2	0	0	C34H22O2N2	CHON	ConHC
BJ_E2	BJ	325.0095355	17	11	3	0	1	1	C17H11O3SP	CHOSP	ConHC
BJ_E2	BJ	769.1827805	46	30	10	2	0	0	C46H30O10N2	CHON	ConHC
BJ_E2	BJ	492.0684639	23	15	10	3	0	0	C23H15O10N3	CHON	ConHC
BJ_E2	BJ	567.0334185	26	17	13	0	0	1	C26H17O13P	CHOP	ConHC
BJ_E2	BJ	531.0598703	26	17	9	2	0	1	C26H17O9N2P	CHONP	ConHC
BJ_E2	BJ	943.3067482	67	44	6	0	0	0	C67H44O6	CHO	ConHC
BJ_E2	BJ	538.1926631	38	25	1	3	0	0	C38H25ON3	CHON	ConHC
BJ_E2	BJ	689.1483335	41	27	7	2	0	1	C41H27O7N2P	CHONP	ConHC
BJ_E2	BJ	624.1751728	41	27	2	3	1	0	C41H27O2N3S	CHONS	ConHC
BJ_E2	BJ	988.3364714	71	47	1	3	1	0	C71H47ON3S	CHONS	ConHC
BJ_E2	BJ	947.3015932	66	44	7	0	0	0	C66H44O7	CHO	ConHC
BJ_E2	BJ	731.2188682	48	32	6	2	0	0	C48H32O6N2	CHON	ConHC
BJ_E2	BJ	709.1981434	45	30	7	2	0	0	C45H30O7N2	CHON	ConHC
BJ_E2	BJ	537.1974526	39	26	1	2	0	0	C39H26ON2	CHON	ConHC
BJ_E2	BJ	536.0726147	30	20	5	1	1	1	C30H20O5NSP	CHONSP	ConHC
BJ_E2	BJ	504.1004921	30	20	5	1	0	1	C30H20O5NP	CHONP	ConHC
BJ_E2	BJ	488.1055072	30	20	4	1	0	1	C30H20O4NP	CHONP	ConHC
BJ_E2	BJ	357.128614	27	18	1	0	0	0	C27H18O	CHO	ConHC
BJ_E2	BJ	317.0302617	15	10	8	0	0	0	C15H10O8	CHO	ConHC
BJ_E2	BJ	269.0455517	15	10	5	0	0	0	C15H10O5	CHO	ConHC
BJ_E2	BJ	253.0505729	15	10	4	0	0	0	C15H10O4	CHO	ConHC
BJ_E2	BJ	177.0193147	9	6	4	0	0	0	C9H6O4	CHO	ConHC
BJ_E2	BJ	650.2087155	43	29	4	3	0	0	C43H29O4N3	CHON	ConHC
BJ_E2	BJ	564.2082857	40	27	1	3	0	0	C40H27ON3	CHON	ConHC
BJ_E2	BJ	488.1769129	34	23	1	3	0	0	C34H23ON3	CHON	ConHC
BJ_E2	BJ	502.1117311	31	21	4	1	1	0	C31H21O4NS	CHONS	ConHC
BJ_E2	BJ	789.2241774	50	34	8	2	0	0	C50H34O8N2	CHON	ConHC
BJ_E2	BJ	563.2130776	41	28	1	2	0	0	C41H28ON2	CHON	ConHC
BJ_E2	BJ	541.1921373	38	26	2	2	0	0	C38H26O2N2	CHON	ConHC
BJ_E2	BJ	318.0594866	19	13	2	1	1	0	C19H13O2NS	CHONS	ConHC
BJ_E2	BJ	465.1610145	32	22	2	2	0	0	C32H22O2N2	CHON	ConHC
BJ_E2	BJ	476.1057282	29	20	4	1	0	1	C29H20O4NP	CHONP	ConHC
BJ_E2	BJ	460.1105932	29	20	3	1	0	1	C29H20O3NP	CHONP	ConHC
BJ_E2	BJ	590.223895	42	29	1	3	0	0	C42H29ON3	CHON	ConHC
BJ_E2	BJ	745.2341867	49	34	6	2	0	0	C49H34O6N2	CHON	ConHC
BJ_E2	BJ	987.3327918	69	48	7	0	0	0	C69H48O7	CHO	ConHC
BJ_E2	BJ	383.1038582	23	16	4	2	0	0	C23H16O4N2	CHON	ConHC
BJ_E2	BJ	815.2029993	53	37	5	0	1	1	C53H37O5SP	CHOSP	ConHC
BJ_E2	BJ	583.1847688	40	28	1	2	1	0	C40H28ON2S	CHONS	ConHC
BJ_E2	BJ	445.0413688	20	14	12	0	0	0	C20H14O12	CHO	ConHC
BJ_E2	BJ	204.0302075	10	7	4	1	0	0	C10H7O4N	CHON	ConHC
BJ_E2	BJ	188.0353142	10	7	3	1	0	0	C10H7O3N	CHON	ConHC
BJ_E2	BJ	561.1820947	37	26	4	2	0	0	C37H26O4N2	CHON	ConHC
BJ_E2	BJ	835.2294679	51	36	10	2	0	0	C51H36O10N2	CHON	ConHC
BJ_E2	BJ	531.0010175	17	12	18	2	0	0	C17H12O18N2	CHON	Other
BJ_E2	BJ	307.0724072	17	12	4	2	0	0	C17H12O4N2	CHON	ConHC
BJ_E2	BJ	279.0485716	17	12	2	0	1	0	C17H12O2S	CHOS	ConHC
BJ_E2	BJ	593.2234856	42	30	2	2	0	0	C42H30O2N2	CHON	ConHC
BJ_E2	BJ	464.1055222	28	20	4	1	0	1	C28H20O4NP	CHONP	ConHC
BJ_E2	BJ	453.0135854	21	15	4	2	2	1	C21H15O4N2S2P	CHONSP	ConHC
BJ_E2	BJ	321.0252786	14	10	9	0	0	0	C14H10O9	CHO	ConHC
BJ_E2	BJ	305.0302562	14	10	8	0	0	0	C14H10O8	CHO	ConHC
BJ_E2	BJ	257.0455564	14	10	5	0	0	0	C14H10O5	CHO	ConHC
BJ_E2	BJ	181.9917102	7	5	3	1	1	0	C7H5O3NS	CHONS	ConHC
BJ_E2	BJ	571.2028523	39	28	3	2	0	0	C39H28O3N2	CHON	ConHC
BJ_E2	BJ	555.2079029	39	28	2	2	0	0	C39H28O2N2	CHON	ConHC
BJ_E2	BJ	426.0898686	25	18	4	1	0	1	C25H18O4NP	CHONP	ConHC
BJ_E2	BJ	733.1745	43	31	8	2	0	1	C43H31O8N2P	CHONP	ConHC
BJ_E2	BJ	792.2868936	54	39	4	3	0	0	C54H39O4N3	CHON	ConHC
BJ_E2	BJ	501.1974818	36	26	1	2	0	0	C36H26ON2	CHON	ConHC
BJ_E2	BJ	721.2344399	47	34	6	2	0	0	C47H34O6N2	CHON	ConHC
BJ_E2	BJ	973.3537864	69	50	6	0	0	0	C69H50O6	CHO	ConHC
BJ_E2	BJ	738.2760921	51	37	3	3	0	0	C51H37O3N3	CHON	ConHC
BJ_E2	BJ	479.1766428	33	24	2	2	0	0	C33H24O2N2	CHON	ConHC
BJ_E2	BJ	235.0247778	11	8	6	0	0	0	C11H8O6	CHO	ConHC
BJ_E2	BJ	155.0502119	11	8	1	0	0	0	C11H8O	CHO	ConHC
BJ_E2	BJ	934.2328138	56	41	11	1	1	0	C56H41O11NS	CHONS	ConHC
BJ_E2	BJ	566.1120941	30	22	7	3	0	1	C30H22O7N3P	CHONP	ConHC
BJ_E2	BJ	659.1381091	38	28	9	0	1	0	C38H28O9S	CHOS	ConHC
BJ_E2	BJ	525.0272739	19	14	16	2	0	0	C19H14O16N2	CHON	ConHC
BJ_E2	BJ	525.009531	19	14	14	2	1	0	C19H14O14N2S	CHONS	ConHC
BJ_E2	BJ	385.0565592	19	14	9	0	0	0	C19H14O9	CHO	ConHC
BJ_E2	BJ	369.0616865	19	14	8	0	0	0	C19H14O8	CHO	ConHC
BJ_E2	BJ	289.0870558	19	14	3	0	0	0	C19H14O3	CHO	ConHC
BJ_E2	BJ	951.2548902	61	45	7	0	1	1	C61H45O7SP	CHOSP	ConHC
BJ_E2	BJ	773.2137723	46	34	10	2	0	0	C46H34O10N2	CHON	ConHC
BJ_E2	BJ	993.3771844	73	54	2	0	1	0	C73H54O2S	CHOS	ConHC
BJ_E2	BJ	859.2657868	54	40	9	2	0	0	C54H40O9N2	CHON	ConHC
BJ_E2	BJ	580.0651723	27	20	12	1	0	1	C27H20O12NP	CHONP	ConHC
BJ_E2	BJ	952.3715113	70	52	1	1	0	1	C70H52ONP	CHONP	ConHC
BJ_E2	BJ	489.19735	35	26	1	2	0	0	C35H26ON2	CHON	ConHC
BJ_E2	BJ	773.2285771	52	39	3	0	1	1	C52H39O3SP	CHOSP	ConHC
BJ_E2	BJ	369.0955104	24	18	2	0	1	0	C24H18O2S	CHOS	ConHC
BJ_E2	BJ	364.0649866	20	15	4	1	1	0	C20H15O4NS	CHONS	ConHC
BJ_E2	BJ	363.0357411	16	12	10	0	0	0	C16H12O10	CHO	ConHC
BJ_E2	BJ	347.0408501	16	12	9	0	0	0	C16H12O9	CHO	ConHC
BJ_E2	BJ	331.0458829	16	12	8	0	0	0	C16H12O8	CHO	ConHC
BJ_E2	BJ	299.0560665	16	12	6	0	0	0	C16H12O6	CHO	ConHC
BJ_E2	BJ	283.0611235	16	12	5	0	0	0	C16H12O5	CHO	ConHC
BJ_E2	BJ	258.0520168	12	9	4	3	0	0	C12H9O4N3	CHON	ConHC
BJ_E2	BJ	197.0091281	8	6	6	0	0	0	C8H6O6	CHO	ConHC
BJ_E2	BJ	917.2339102	57	43	8	0	1	1	C57H43O8SP	CHOSP	ConHC
BJ_E2	BJ	799.1928046	49	37	7	0	1	1	C49H37O7SP	CHOSP	ConHC
BJ_E2	BJ	515.2131341	37	28	1	2	0	0	C37H28ON2	CHON	ConHC
BJ_E2	BJ	545.0911981	29	22	9	0	1	0	C29H22O9S	CHOS	ConHC
BJ_E2	BJ	529.096206	29	22	8	0	1	0	C29H22O8S	CHOS	ConHC
BJ_E2	BJ	568.0846012	25	19	13	3	0	0	C25H19O13N3	CHON	ConHC
BJ_E2	BJ	835.3583965	63	48	2	0	0	0	C63H48O2	CHO	ConHC
BJ_E2	BJ	631.1769879	42	32	2	0	2	0	C42H32O2S2	CHOS	ConHC
BJ_E2	BJ	595.2391925	42	32	2	2	0	0	C42H32O2N2	CHON	ConHC
BJ_E2	BJ	395.0774336	21	16	8	0	0	0	C21H16O8	CHO	ConHC
BJ_E2	BJ	542.2239745	38	29	1	3	0	0	C38H29ON3	CHON	ConHC
BJ_E2	BJ	872.235149	51	39	13	1	0	0	C51H39O13N	CHON	ConHC
BJ_E2	BJ	525.1107446	30	23	7	0	0	1	C30H23O7P	CHOP	ConHC
BJ_E2	BJ	845.3793002	65	50	1	0	0	0	C65H50O	CHO	ConHC
BJ_E2	BJ	541.2282761	39	30	1	2	0	0	C39H30ON2	CHON	ConHC
BJ_E2	BJ	456.1005189	26	20	5	1	0	1	C26H20O5NP	CHONP	ConHC
BJ_E2	BJ	392.1208126	26	20	1	1	0	1	C26H20ONP	CHONP	ConHC
BJ_E2	BJ	277.0353551	13	10	7	0	0	0	C13H10O7	CHO	ConHC
BJ_E2	BJ	225.0669056	13	10	2	2	0	0	C13H10O2N2	CHON	ConHC
BJ_E2	BJ	787.192827	48	37	7	0	1	1	C48H37O7SP	CHOSP	ConHC
